"CAS","odor_goodscents"
"104-21-2","sweet powdery balsam vanilla fruity plum cherry tonka"
"67-64-1","solvent ethereal apple pear"
"72797-17-2","nutty roasted hazelnut roasted peanut popcorn corn chip toasted grain nut flesh peanut butter"
"103-38-8","sweet fruity apple pineapple herbal, sweet, fruity and slightly powdery with a musty background"
"32210-23-4","woody cedar floral oily herbal balsam green fruity"
"25152-85-6","fresh green leaf floral orchid balsam fatty"
"7070-15-7","woody cedar balsamic pine"
"32974-92-8","earthy potato chip nutty popcorn corn, earthy, nutty, musty, potato and corn-like"
"141-11-7","red rose powdery spicy geranium citrus leafy"
"33467-73-1","fresh green waxy sweet vegetable grassy sharp, green, diffusive, fresh, fruity, citrus, waxy, melon and vegetable"
"3681-71-8","fresh green sweet fruity banana apple grassy, fresh green sweet fruity with apple, pear and melon nuances"
"100-52-7","strong sharp sweet bitter almond cherry, almond, fruity, powdery, nutty and benzaldehyde-like"
"67999-56-8","dry woody citrus linalyl and nopyl acetate"
"119-84-6","sweet tonka coumarinic coconut herbal cinnamon balsamic, sweet, creamy, coconut, coumarin, vanilla with a slight spice nuance"
"14765-30-1","fresh mint peppermint woody camphor, cooling, minty, mentholic, spearmint-like, with a camphoraceous undernote"
"118-61-6","sweet wintergreen mint floral spicy balsam, sweet, wintergreen, tutti frutti, cooling, spicy and balsamic"
"23787-80-6","nutty nut flesh roasted hazelnut toasted grain corn chip vegetable nut skin caramellic"
"2306-91-4","waxy banana fruity sweet cognac green, waxy, banana fruity, sweet with a dirty green nuance"
"77-83-8","sweet fruity strawberry floral honey fatty"
"140-11-4","sweet floral fruity jasmin fresh"
"68648-34-0","clean woody dry cedar earthy"
"93-18-5","naphtha floral orange blossom powdery grape"
"2272-55-1","sweet strawberry berry floral tropical, sweet, berry, strawberry, honey, floral and rosy"
"121-39-1","sweet strawberry berry floral tropical, sweet, berry, strawberry, honey, floral and rosy"
"100-51-6","floral rose phenolic balsamic, sweet, floral, fruity with chemical nuances"
"79-09-4","pungent acidic cheesy vinegar, pungent acidic and dairy-like"
"120-51-4","faint sweet balsam oily herbal"
"4023-65-8","vegetable musty nut dry toasted, vegetable"
"14620-52-1","mild fresh green waxy orchid herbal"
"103-28-6","jasmin oily fruity sweet rose tropical, sweet, fruity, powdery with tropical woody and juicy nuances"
"120-11-6","mild spicy balsam carnation"
"111-13-7","earthy weedy natural woody herbal, musty, ketonic, bleu and parmesan cheese-like with earthy and dairy nuances"
"122-63-4","sweet fruity floral banana jasmin balsam"
"28296-85-7","fruity sweet powdery floral ripe"
"118-58-1","balsam clean herbal oily sweet"
"124-04-9","odorless"
"10340-23-5","fresh waxy green melon rind tropical mushroom"
"67634-00-8","fruity green galbanum pineapple fusel"
"141-97-9","fresh fruity green apple fatty"
"10415-87-9","sweet fresh cayloxol lilac anisic earthy narcissus peony"
"1786-08-9","green weedy cortex herbal diphenyl oxide narcissus celery, green, vegetative and floral with a minty undernote"
"53767-93-4","citrus bergamot lime lavender"
"67634-20-2","fruity amber chocolate anise basil"
"459-80-3","dry weedy acidic green moldy feet woody, green weedy woody greasy sweet"
"4621-04-9","leather red rose green dusty weedy metallic"
"13257-44-8","fresh green violet foliage sweet"
"54982-83-1","sweet clean waxy musk animal"
"107-74-4","mild clean floral lily green peony"
"58430-94-7","sweet orris cumin woody fruity spicy"
"2623-23-6","mentholic minty herbal tea fruity woody floral earthy"
"124-76-5","balsam camphor herbal woody"
"110-43-0","fruity spicy sweet herbal coconut woody, cheese, fruity, ketonic, green banana, with a creamy nuance"
"68892-05-7","waxy floral leafy rose"
"112-23-2","green waxy floral herbal plum apple cucumber, green, waxy, floral, herbaceous, with a slight vegetative cucumber and unripe fruity nuance"
"5413-60-5","floral green soapy cedar pine woody"
"111-90-0","slightly ethereal"
"1576-95-0","green phenolic nasturtium ethereal medicinal aldehydic cherry narcissus metallic fruity"
"56172-46-4","sweet caramel maple fruity almond acorns nutty"
"103-64-0","strong leafy green hyacinth"
"107-95-9","odorless"
"122-68-9","sweet balsam spicy apricot"
"290311-72-7","sweet balsam spicy apricot"
"80863-62-3","odorless"
"109-42-2","fatty butter wine floral fruity"
"79-31-2","acidic sour cheese dairy buttery rancid"
"7493-63-2","green leaf floral grape"
"19139-31-2","fresh floral green magnolia plastic herbal cortex"
"118-71-8","sweet caramel cotton candy jam fruity baked bread, sweet, caramellic, cotton candy, jammy fruity, burnt with bready nuances"
"28940-11-6","fresh watery clean melon green marine ozone phenolic"
"7541-49-3","mild light floral balsam green jasmin"
"105463-44-3","woody camphor patchouli earthy rooty"
"81787-06-6","clean dry woody amber vetiver"
"88-41-5","fruity woody green apple herbal"
"105-95-3","powdery sweet floral ambrette musk woody"
"77-54-3","sharp dry woody cedar"
"55719-85-2","green sweet rose natural oily leaf herbal"
"4728-82-9","sweet ripe fruity pineapple green peach apricot, sweet, ripe fruity, pineapple with a green waxy nuance"
"7493-65-4","fatty fruity pineapple"
"7492-66-2","green fresh citrus lemon peel waxy, sweet citrus, green, floral, waxy, lemon peel"
"5146-66-7","citrus lemon nitrile aldehydic metallic"
"16930-96-4","fresh green natural oily herbal fruity"
"7493-66-5","fatty fruity"
"67883-79-8","green vegetable green banana earthy cortex herbal, green, earthy vegetative with mushroom and radish nuances"
"104-55-2","sweet spicy aldehydic aromatic balsamic cinnamyl resinous honey powdery, cassia, cinnamon, cinnamon bark and red hots"
"121-32-4","sweet creamy vanilla caramel"
"38019-89-5","sweet creamy vanilla caramel"
"90-17-5","heavy deep rose floral powdery balsamic soapy"
"111-27-3","ethereal fusel oil fruity alcoholic sweet green, pungent, etherial, fusel oil, fruity and alcoholic, sweet with a green top note"
"6485-40-1","sweet spearmint herbal minty"
"6259-76-3","fresh herbal orchid green"
"68698-57-7","dry woody peppery citrus"
"7493-68-7","fruity pineapple peach apricot apple"
"2179-57-9","alliaceous onion garlic metallic, alliceous, onion and garlic-like with metallic nuances"
"870-23-5","alliaceous sulfurous garlic onion roasted, sulfurous and alliaceous, sauteed onion and garlic, roasted, grilled and charred meaty nuances"
"28231-03-0","cedarwood woody sweet soft"
"7493-72-3","sweet waxy fruity wine creamy vinous pineapple, sweet, waxy fruity, with a winey and creamy nuance"
"4230-97-1","waxy fruity green tropical pineapple watercress metallic fatty soapy, fatty and waxy, sweet, fruity pineapple-like with a green tropical nuance"
"6091-50-5","herbal minty mentholic peppermint"
"1797-74-6","honey fruity rum"
"2408-20-0","ethereal acrylate fruity wasabi ripe tropical ripe banana nut skin, etherial, sharp, acrylate-like with an alliaceous nuance, overripe and tropical"
"10484-09-0","fruity banana pineapple wintergreen"
"30895-79-5","fruity pineapple"
"592-88-1","sulfurous onion garlic horseradish metallic, pungent, sulfurous, onion-garlic and horseradish-like with a metallic nuance"
"57-06-7","strong pungent mustard"
"41820-22-8","fresh onion garlic green gassy, fresh onion garlic-like with green gassy nuances"
"7493-71-2","green fruity berry"
"77-53-2","cedarwood woody dry sweet soft"
"7493-76-7","fruity pineapple waxy"
"2835-39-4","sweet fruity banana apple pineapple cherry, sweet, slightly pungent, fruity, banana, apple and pineapple-like"
"36977-92-1","minty cool peppermint sweet, mentholic, cooling, minty and camphoreous with a refreshing etherial lift"
"491-07-6","minty cool peppermint sweet, mentholic, cooling, minty and camphoreous with a refreshing etherial lift"
"56973-85-4","fresh green galbanum earthy weedy pineapple narcissus"
"2308-18-1","ethereal sweet wine green fermented"
"71-41-0","fusel oil sweet balsam, pungent, fermented, bready, yeasty, fusel, winey and solvent-like"
"142-92-7","fruity green apple banana sweet, green, fruity, sweet, fatty, fresh, apple and pear"
"72968-25-3","sweet woody violet citrus"
"140-10-3","balsam sweet storax"
"53399-81-8","fruity green ripe pineapple tropical ripe banana chrysanthemum privet fatty, estry, fruity and tropical with spicy, cooling nuances"
"104-54-1","sweet balsam hyacinth spicy green powdery cinnamic, cinnamon spice, floral, green and fermented with powdery balsamic nuances"
"2050-01-3","fruity ethereal tropical green grape cherry unripe banana apple cocoa, sweet, fruity, estry and green with a waxy nuance"
"91-87-2","bland jasmin lily green lemon"
"7493-79-0","sweet oily herbal green"
"103-54-8","sweet floral spicy balsam cinnamon"
"7493-80-3","fruity tobacco oily hay"
"140-27-2","sweet spice melon cherry green apple, sour, fermented and winey, yeasty with woody and fruity nuances"
"16587-71-6","woody dry orris earthy camphor"
"107-92-6","sharp acetic cheese butter fruit, sharp, dairy-like, cheesy, buttery with a fruity nuance"
"104-87-0","fruity cherry deep phenolic"
"5392-40-5","sharp lemon sweet"
"7549-37-3","green floral citric lemon lime natural"
"112-14-1","green earthy mushroom herbal waxy"
"10484-36-3","sweet balsam floral spice carnation"
"7779-66-0","sweet butter fruity caramel"
"5396-89-4","sweet benzyl propionate and acetate floral fruity"
"7779-67-1","sweet green floral fruity sour apple rose raisin caramel"
"5442-00-2","floral mint green geranium muguet balsam"
"1334-82-3","fennel mild oily fruity herbal"
"659-70-1","sweet fruity green ripe apple jammy tropical, sweet fruity, green apple and estry"
"25304-14-7","woody herbal cedarleaf thujone minty"
"7493-82-5","ethereal fruity unripe banana coconut lemon"
"542-46-1","clean musk dry animal sweet"
"17597-95-4","fresh green leafy sweet floral fruity"
"109-25-1","fruity herbal grassy banana unripe fruit"
"151-19-9","fresh linalool woody blueberry sweet rose"
"40853-53-0","fresh herbal mint rosemary woody"
"66062-78-0","sweet fresh woody earthy patchouli vetiver herbal"
"554-12-1","fresh harsh rum fruity strawberry apple"
"6309-51-9","wine waxy oily fatty peach, winey, alcoholic, fatty, creamy, yeasty and fusel"
"4501-58-0","herbal green woody amber leafy"
"112-06-1","fresh green rum ripe fruit pear apricot woody, green, waxy, fatty, citrus, aldehydic, winey and woody"
"81782-77-6","green oily violet lily seedy fruity kiwi"
"4430-31-3","sweet herbal coumarin tonka woody, sweet, creamy, lactonic, coconut, coumarin, with milky and creamy vanilla nuances"
"91-64-5","sweet hay tonka new mown hay"
"106-44-5","phenolic narcissus animal mimosa"
"495-76-1","sweet powdery vanilla"
"140-39-6","narcissus phenolic animal"
"5406-58-6","woody sandalwood camphor methyl acetophenone sweet"
"33662-58-7","oakmoss sweet seaside phenolic"
"80480-24-6","fresh oily green jasmin herbal spicy privetblossom"
"104-93-8","naphthyl cresol ylang powdery nutty"
"20702-77-6","bland odor, no apparent odor"
"104468-21-5","fresh herbal fruity floral chamomile red rose"
"84029-93-6","sweet cardamom floral fruity tropical fresh"
"101-94-0","animal rose honey narcissus lily hyacinth"
"600-14-6","pungent sweet butter creamy caramel nutty cheese, buttery, nutty, toasted, caramellic, diacetyl and acetoin notes"
"75147-23-8","fresh fruity natural buchu leaf oil clean"
"122-03-2","spicy cumin green herbal, spicy, green, cumin-like with green herbal spice nuances"
"56747-96-7","spicy moss earthy resinous"
"7779-70-6","fruity oily apricot floral"
"82784-84-7","fresh green sweet ozone melon"
"62488-24-8","fragrant"
"40853-56-3","fresh herbal mint woody"
"103-95-7","floral cyclamen fresh rhubarb musty green"
"627-90-7","soapy waxy fatty cognac coconut, soapy, waxy, fatty with a slight buttery nuance"
"540-18-1","sweet fruity banana pineapple cherry tropical, sweet, fruity, banana, pineapple and cherry, with a tropical nuance"
"638-25-5","orris sweet winey cognac elderflower fatty"
"4940-11-8","sweet caramel jam strawberry cotton candy"
"617-35-6","ether fruity sweet sharp rum vegetable caramel, etherial, fruity, sweet, with a sharp rum-like top note"
"106-02-5","musk animal powdery natural fruity, tobacco, coumarin, heliotropine, powdery, licorice and brown"
"106-68-3","fresh herbal lavender sweet mushroom, musty, mushroom, ketonic, moldy and cheesy fermented with a green, vegetative nuance"
"68683-25-0","fresh watery floral muguet"
"604-68-2","odorless"
"89-43-0","floral lily orange blossom sweet"
"1118-39-4","citrus bergamot lavender floral woody nutmeg"
"72403-67-9","fresh lily magnolia sweet citrus freesia green"
"105-53-3","sweet fruity green apple, sweet, green, apple and fruity"
"21662-09-9","citrus aldehydic orange watery cardamom"
"84-66-2","odorless"
"76649-16-6","green fruity waxy cognac, green, fruity and oily with a pineapple, apple waxy nuance"
"18479-51-1","bois de rose woody citrus blueberry weedy"
"2306-78-7","fresh sweet citrus waxy freesia woody"
"85-91-6","fruity musty sweet neroli powdery phenolic wine"
"68555-57-7","sweet rose fruity neroli petitgrain"
"100-86-7","clean floral green rose cortex oily rhubarb"
"151-05-3","sweet floral fruity rose green pear berry jasmin powdery"
"52474-60-9","citrus ozone aldehydic grapefruit muguet"
"150-78-7","sweet green new mown hay fennel"
"4861-85-2","sweet honeysuckle powdery viney, sweet, honey, floral, with a rose-like nuance"
"24717-85-9","rose fruity floral geranium leafy tea"
"68345-22-2","sweet green floral almond rose cortex, sweet, honey, brown, floral, cocoa, dried fruit with powdery nuances"
"1604-28-0","cinnamon coconut spice woody sweet weedy, sweet, green, spice-like with a cooling herbaceous nuance"
"637-78-5","fruity ether sweet pineapple banana, fruity etherial, sweet with pineapple & banana nuances"
"57606-04-9","odorless"
"9005-38-3","odorless"
"101-84-8","geranium leaf green phenolic"
"9005-35-0","odorless"
"1334-78-7","sweet cherry chemical coumarin powdery, sweet, cherry and chemical with a powdery coumarin like nuance"
"65894-83-9","green nut skin sulfurous burnt cocoa corn"
"60523-21-9","fruity tropical tutti frutti rummy green strawberry earthy berry, green, sweet, fruity, tufti-frutti-iike with tropical and rummy nuances"
"1197-01-9","sweet fruity cherry coumarin floral camphor, sweet, fruity, cherry, coumarin, floral, camphoreous, cooling"
"5362-56-1","ethereal spicy green grassy aldehydic cooked apple cognac woody, pungent, etherial, fresh green apple-like, aldehydic, cognac and woody"
"141-78-6","ethereal fruity sweet weedy green, etherial, fruity, sweet, grape and rum-like"
"1319-88-6","cherry bitter almond sweet, faint musty red fruity with a slight cherry pit nuance"
"35854-86-5","fresh green melon waxy honeydew cantaloupe cucumber clean, waxy, green, vegetable-like, melon, honeydew, with juicy and fatty nuances"
"93-89-0","fruity dry musty sweet wintergreen, sweet, wintergreen, fruity, medicinal, cherry, grape"
"105-54-4","fruity juicy fruit pineapple cognac"
"123-66-0","sweet fruity pineapple waxy green banana, sweet, fruity, pineapple, waxy, fatty and estry with a green banana nuance"
"76649-14-4","creamy mushroom melon rind waxy, green, mushroom, melon rind with waxy nuances"
"2226-05-3","dry sawdust woody patchouli camphor mint"
"21280-29-5","dry animal amber ambergris civet musk"
"868-57-5","ethereal estery fruity tutti frutti green apple lily of the valley powdery fatty, etherial, iifting, fruity, tutti-frutti and ripe with a fatty, green nuance"
"7452-79-1","sharp sweet green apple fruity, fruity, estry and berry with fresh tropical nuances"
"4208-49-5","caramel fruity jam"
"124-06-1","sweet waxy violet orris, sweet, waxy"
"123-29-5","fruity rose waxy rum wine natural tropical"
"1885-38-7","nitrile cinnamon cassia deep cumin"
"105-37-3","sweet fruity rum juicy fruit grape pineapple, sweet, etherial, rummy, grape, winey and fermented with an eggnog nuance"
"692-86-4","waxy fruity clean creamy soapy cognac, fatty, waxy and fruity with sweet creamy and soapy nuances"
"2437-25-4","dry citrus orange peel metallic spicy"
"137-03-1","fresh fruity peach isojasmone oily tropical"
"67634-16-6","fresh floral herbal green petal gardenia minty"
"67634-17-7","fresh floral herbal green petal gardenia minty"
"97-53-0","sweet spicy clove woody, sweet, spicy, clove like, woody, with phenolic savory ham and bacon notes and cinnamon and allspice nuances"
"93-28-7","fresh sweet woody clove floral carnation malt spice"
"2568-25-4","bitter narcissus sweet naphthalic woody"
"97-42-7","green minty spearmint nasturtium herbal rummy grape pear spicy, sweet, green, fruity, pulpy and herbal"
"38462-22-5","sulfury minty green fruity berry buchu fruity tropical peach, fruity, berry and tropical with a raspberry, minty nuance"
"7774-82-5","powerful waxy citrus peel tangerine, aldehydic, citrusy, waxy, powdery, soapy and creamy"
"20407-84-5","citrus metallic mandarin orange waxy aldehydic"
"4602-84-0","mild fresh sweet linden floral angelica"
"7786-61-0","sweet spicy clove carnation phenolic peppery smoky woody powdery"
"13851-11-1","fresh sweet pine fir herbal citrus"
"25225-10-9","floral rose musk fruity geranium"
"67-03-8","sour mild bitter"
"59056-64-3","warm woody amber animal clary dry"
"68133-76-6","green oily melon rind banana peel cucumber skin tea, green, oily and fatty with a cucumber vegetative and fruity melon rind like nuance and a slight hint of a floral green tea"
"59056-70-1","woody amber cedar vetiver clary sage dry"
"67634-25-7","citrus floral green grapefruit gardenia petal"
"58-86-6","smoky woody sweet caramel"
"67634-14-4","ozone clean fresh green marine"
"67634-15-5","ozone clean fresh green marine"
"65504-96-3","fruity winey"
"99-48-9","minty spearmint cooling green herbal caraway spicy"
"3738-00-9","dry woody amber ambergris musk sweet"
"41519-23-7","fruity green pear apple tropical mango tomato leaf violet leaf, sweet fruity apple and pear, fading to a slight green character"
"18640-74-9","green wasabi privet tomato leaf earthy vegetable metallic, green, vegetable, musty with a waxy nuance"
"15679-13-7","tropical fruit green vegetable nut rooty earthy, musty alliaceous earthy sulfury slight fruity, coffee, meaty"
"27593-23-3","tonka lactonic coconut creamy fatty waxy, coconut creamy, sweet, brown with a fatty waxy nuance"
"4351-54-6","ethereal cooling sweet fruity banana cherry jam, ethereal and cooling with sweet fruity banana nuances"
"6290-17-1","fresh fruity apple strawberry licorice"
"18871-14-2","floral herbal oily green jasmin mushroom lactonic"
"15764-16-6","naphthyl cherry almond spice vanilla, sweet, naphthalene, chemical, almond, powdery, spice, cherry and vanilla"
"16356-11-9","fresh green greasy resin galbanum green pepper, fresh green, cucumber, waxy, melon and vegetative, citrus"
"108-48-5","nutty amine woody bready cocoa oily, nutty, amine, woody, bready and vegetable-like"
"102-04-5","bitter almond benzaldehyde plastic seedy, sweet, powdery, and honey with floral rose nuances"
"94278-27-0","onion garlic sulfurous coffee vegetable animal, onion, garlic, sulfuraceous, coffee and vegetable notes"
"68555-95-3","lime citrus lemon herbal terpene"
"3249-68-1","sweet green sweaty fruity berry, sweet, green, sweaty with fruity notes"
"10486-19-8","fresh clean aldehydic soapy citrus petal waxy grapefruit peel"
"105-86-2","fresh rose neroli tea rose green, floral, green, fruity, apple and peach with tropical nuances"
"71648-43-6","floral tropical honey rose fruity sweet balsam, floral, powdery, rosy, honey and dried fruit-like with balsamic undernotes"
"68555-63-5","sweet caramellic bready jammy strawberry berry, rich sweet baked cookie, similar to furaneol with a jammy pineapple, berry and sweet tropical nuance"
"105-90-8","floral fresh waxy fruity rose tropical citrus geranium powdery, floral, rosey, waxy, honey, tropical and vegetative, with a powdery nuance"
"65416-14-0","sweet strawberry fruity tropical berry cotton candy, sweet, fruit and slight burnt, caramelized sugar jamy notes with cotton candy afternote"
"2548-87-0","fresh cucumber fatty green herbal banana waxy green leaf"
"68527-74-2","sweet vanilla chocolate creamy dairy powdery, sweet, vanillin, slightly powdery with phenolic cocoa nuances"
"4674-50-4","grapefruit peel citrus gardenia woody, grapefruit, citrus, orange, sweet peely with a woody nuance"
"874-90-8","sweet floral hawthorn hay coumarin"
"589-38-8","sweet fruity waxy rum grape, sweet, fruity, waxy and diffusive"
"39251-86-0","floral waxy green sweet pear apple, floral, waxy and green with sweet pear nuances"
"145-39-1","musk ketone sweet powdery fatty"
"6290-37-5","sweet honey floral waxy woody sweaty green banana pineapple, sweet, honey, floral, waxy with woody and sweaty nuances"
"68916-62-1","fresh citrus citronella floral ionones"
"122-84-9","sweet fruity creamy spicy green anisic balsamic licorice fennel, sweet, fruity spicy, with anisic balsamic nuances"
"39067-80-6","green sulfurous fruity berry rhubarb citrus minty catty, green, fruity berry with minty sulfur catty nuances"
"7779-72-8","caramellic balsamic rummy arrack fruity"
"104037-85-6","fresh green floral orangeblossom ozone leafy cortex"
"111753-60-7","fresh green floral orangeblossom ozone leafy cortex"
"134-28-1","tea rose woody spicy green fatty"
"30361-29-6","oily caramellic spicy citrus buttery baked, fatty, waxy, chicken with sweet nuances"
"1080-12-2","sweet powdery vanilla creamy balsam, sweet, powdery vanilla with creamy balsamic nuances"
"2628-17-3","chemical phenolic medicinal sweet, chemical, phenolic, medicinal with sweet musty and meaty nuances"
"1003-04-9","garlic meaty green vegetables clams buttery, alliaceous, cooked meaty with green vegetable nuances"
"41519-18-0","fresh herbal wine fruity angelic acid"
"95-87-4","sweet naphthyl phenolic smoke bacon, sweet, naphthyl, phenolic, smoke, bacon and iysol-like"
"141-10-6","sweet waxy citrus floral balsamic dry dusty powdery spicy"
"1708-34-5","fresh green cortex wet narcissus oily plastic fatty"
"91722-61-1","woody cedar mossy"
"120-57-0","heliotrope flower sweet powdery coconut vanilla, cherry, vanilla, sweet cherry pit notes and creamy with cinnamic nuances"
"12262-03-2","floral rose waxy"
"928-96-1","fresh green cut grass foliage vegetable herbal oily, green, grassy, melon rind-like with a pungent freshness"
"2173-56-0","ripe fruity apple"
"68133-73-3","rose lemon honey hay"
"101-86-0","fresh floral green jasmin herbal waxy"
"5434-57-1","sweet floral fatty musty green fruity woody"
"258823-39-1","sulfurous"
"622-45-7","fruity sweet musty ethereal, solvent-like and fruity sweet with banana and apple nuances"
"24720-09-0","floral rose apple fruity black currant, sweet, fruity, floral woody with a green berry nuance"
"18479-58-8","fresh citrus lime floral clean cologne weedy"
"86803-90-9","fresh sea breeze watery floral ozone"
"9005-64-5","mild alcohol odor"
"1504-74-1","sweet cinnamon cassia oily woody paper, sweet, cinnamic, spicy, slightly woody and resinous nuances"
"5764-85-2","fruity leather strawberry dry straw animal"
"135-02-4","sweet powdery hawthorn guaiacol vanilla acetophenone almond"
"103-53-7","rich heavy balsam rose foliage"
"58985-18-5","pine citrus woody lime cologne"
"1335-46-2","orris violet powdery woody"
"68917-34-0","sweet woody root earthy sandal"
"122-48-5","sweet spicy phenolic ginger vanilla woody, spicy, phenolic and balsamic with a creamy vanilla-like nuance"
"94-86-0","sweet vanilla woody tobacco spicy phenolic powdery"
"50-81-7","very mild grassy"
"79-92-5","woody herbal fir needle camphor terpenic, camphoraceous, cooling, piney woody with terpy nuances. it has citrus and green minty and green spicy notes"
"91-51-0","fresh green orangeflower lily citrus hydroxycitronellal"
"498-81-7","sweet pine terpenic lime woody"
"21129-27-1","sweet pine terpenic lime woody"
"83-34-1","very strong animal fecal indole civet"
"4630-07-3","sweet fresh citrus grapefruit woody orange asprin dry green oily"
"80-56-8","fresh camphor sweet pine earthy woody, woody, piney and turpentine-like, with a slight cooling camphoraceous nuance and a fresh herbal lift"
"698-76-0","sweet fatty coconut tonka tropical dairy, sweet, coconut, creamy, coumarin and lactonic with a green, fatty nuance"
"4948-28-1","pine woody fir needle camphor incense"
"695-06-7","herbal coconut sweet coumarin tobacco"
"93-53-8","fresh sharp green hyacinth leaf lilac"
"67801-33-6","fresh sweet green weedy earthy herbal"
"133-18-6","sweet floral rose grape orange iris honey"
"138-23-8","sweet natural red rose spicy fruity tropical geranium"
"67633-92-5","fruity herbal anise basil fennel hyacinth"
"141-92-4","lily rose acetate waxy green"
"80858-47-5","floral hyacinth green metallic fruity raspberry balsam"
"67634-11-1","fresh minty earthy vetiver"
"3142-72-1","dry acid sweaty strawberry woody fruity jam, sour, acidic, sweaty and fruity with a jammy, woody nuance"
"3407-42-9","sandalwood clean sweet woody"
"89-82-7","peppermint camphor fresh herbal buchu, minty, sulfuraceous, sweet with metallic buchu nuances"
